text,sentiment,timestamp,user,platform,hashtags,retweets,likes,country,year,month,day,hour,tokens,token_count
"fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world.",Curiosity,2022-12-01 09:15:00,FearlessExplorer,Facebook, #Curiosity #FearlessExplorer              ,22.0,44.0,India,2022,12,1,9,"['fueled', 'by', 'curiosity', 'venturing', 'into', 'uncharted', 'realms', 'a', 'fearless', 'explorer', 'of', 'the', 'mysteries', 'of', 'the', 'world']",16
"wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",Numbness,2021-11-30 15:30:00,TurbulentShield,Instagram, #Numbness #EmotionalStorms ,10.0,20.0,Canada,2021,11,30,15,"['wrapped', 'in', 'the', 'cloak', 'of', 'emotional', 'numbness', 'a', 'shield', 'against', 'the', 'storms', 'of', 'lifes', 'turbulence']",15
"dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn.",Zest,2018-07-12 17:45:00,JoyfulDancer,Twitter, #Zest #CarefreeSpirit ,15.0,30.0,USA,2018,7,12,17,"['dancing', 'through', 'life', 'with', 'the', 'exuberance', 'of', 'a', 'carefree', 'spirit', 'embracing', 'joy', 'and', 'zest', 'at', 'every', 'turn']",17
"basking in the golden glow of contentment, a serene river flowing through the landscape of the heart.",Contentment,2020-09-05 20:10:00,SereneBasker,Facebook, #Contentment #GoldenGlow ,18.0,36.0,Australia,2020,9,5,20,"['basking', 'in', 'the', 'golden', 'glow', 'of', 'contentment', 'a', 'serene', 'river', 'flowing', 'through', 'the', 'landscape', 'of', 'the', 'heart']",17
"gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism.",Hopeful,2022-04-18 08:00:00,DreamPainter,Instagram, #Hopeful #CanvasOfDreams ,12.0,24.0,India,2022,4,18,8,"['gazing', 'towards', 'the', 'horizon', 'with', 'hopeful', 'eyes', 'painting', 'a', 'canvas', 'of', 'dreams', 'illuminated', 'by', 'the', 'sun', 'of', 'optimism']",18
"standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment.",Proud,2019-12-10 12:20:00,OakAchiever,Twitter, #Proud #BranchesOfAchievement ,25.0,50.0,Canada,2019,12,10,12,"['standing', 'tall', 'proud', 'as', 'an', 'oak', 'the', 'branches', 'of', 'achievement', 'reaching', 'towards', 'the', 'sky', 'of', 'accomplishment']",16
"a heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection.",Grateful,2023-02-28 09:45:00,HeartGardener,Facebook, #Grateful #BlossomingConnection ,20.0,40.0,USA,2023,2,28,9,"['a', 'heart', 'overflowing', 'with', 'gratitude', 'a', 'garden', 'where', 'appreciation', 'blooms', 'in', 'the', 'soil', 'of', 'kindness', 'and', 'connection']",17
"extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others.",Empathetic,2018-04-03 14:15:00,ThreadWeaver,Instagram, #Empathetic #TapestryOfUnderstanding ,15.0,30.0,UK,2018,4,3,14,"['extending', 'a', 'hand', 'empathetic', 'threads', 'weaving', 'a', 'tapestry', 'of', 'understanding', 'embracing', 'the', 'joys', 'and', 'sorrows', 'of', 'others']",17
"compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering.",Compassionate,2022-06-20 10:30:00,CloudCaretaker,Twitter, #Compassionate #ShowerOfEmpathy ,18.0,36.0,Australia,2022,6,20,10,"['compassionate', 'clouds', 'heavy', 'with', 'care', 'showering', 'empathy', 'on', 'the', 'parched', 'grounds', 'of', 'human', 'suffering']",14
"playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness.",Playful,2020-07-08 18:00:00,RainDancer,Facebook, #Playful #DanceInTheRain ,22.0,44.0,Canada,2020,7,8,18,"['playfully', 'dancing', 'in', 'the', 'rain', 'of', 'laughter', 'a', 'whimsical', 'spirit', 'twirling', 'in', 'the', 'puddles', 'of', 'joy', 'and', 'lightheartedness']",18
"soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence.",Free-spirited,2021-08-15 11:10:00,SkyPainter,Instagram, #FreeSpirit #PaintingTheSky ,20.0,40.0,India,2021,8,15,11,"['soaring', 'on', 'the', 'wings', 'of', 'a', 'free', 'spirit', 'unburdened', 'by', 'the', 'chains', 'of', 'conformity', 'painting', 'the', 'sky', 'with', 'independence']",19
"bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms.",Inspired,2019-10-25 16:50:00,PhoenixExplorer,Twitter, #Inspired #CreativePhoenix ,15.0,30.0,UK,2019,10,25,16,"['bathed', 'in', 'the', 'glow', 'of', 'inspiration', 'a', 'creative', 'phoenix', 'rising', 'from', 'the', 'ashes', 'of', 'ordinary', 'thoughts', 'to', 'explore', 'new', 'realms']",20
"navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation.",Hopeful,2023-10-05 07:30:00,SunriseNavigator,Facebook, #Hopeful #SunriseOfPossibilities ,12.0,24.0,USA,2023,10,5,7,"['navigating', 'the', 'sea', 'of', 'hope', 'sailing', 'towards', 'the', 'sunrise', 'of', 'possibilities', 'confident', 'in', 'the', 'ship', 'of', 'positive', 'anticipation']",18
"striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed.",Confident,2022-02-15 13:15:00,SandStrider,Instagram, #Confident #FootprintsOfAssuredness ,25.0,50.0,Australia,2022,2,15,13,"['striding', 'with', 'confidence', 'footprints', 'of', 'selfassuredness', 'imprinted', 'on', 'the', 'sands', 'of', 'challenges', 'conquered', 'and', 'victories', 'claimed']",16
"lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams.",Serenity,2021-05-08 22:00:00,NightSerenader,Twitter, #Serenity #MoonlitSerenade ,13.0,26.0,Canada,2021,5,8,22,"['lost', 'in', 'the', 'symphony', 'of', 'the', 'night', 'a', 'moonlit', 'serenade', 'that', 'whispers', 'tales', 'of', 'wanderlust', 'and', 'moonlit', 'dreams']",18
"unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge.",Curiosity,2020-11-29 14:45:00,KnowledgeSeeker,Instagram, #Curiosity #LabyrinthOfQuestions ,17.0,34.0,USA,2020,11,29,14,"['unveiling', 'the', 'layers', 'of', 'curiosity', 'a', 'labyrinth', 'of', 'questions', 'leading', 'to', 'the', 'treasure', 'troves', 'of', 'undiscovered', 'knowledge']",17
"in the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties.",Ambivalence,2019-09-14 10:20:00,BreezeWaltzer,Facebook, #Ambivalence #AutumnWaltz ,14.0,28.0,UK,2019,9,14,10,"['in', 'the', 'embrace', 'of', 'the', 'autumn', 'breeze', 'leaves', 'of', 'ambivalence', 'dancing', 'in', 'a', 'waltz', 'between', 'choices', 'and', 'uncertainties']",18
"gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments.",Grateful,2022-03-12 19:55:00,StarNavigator,Twitter, #Grateful #GuidingStar ,19.0,38.0,Australia,2022,3,12,19,"['gratitude', 'as', 'a', 'guiding', 'star', 'navigating', 'the', 'constellation', 'of', 'blessings', 'in', 'the', 'vast', 'universe', 'of', 'lifes', 'precious', 'moments']",18
"with a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy.",Zest,2023-03-30 16:30:00,MeadowSprinter,Instagram, #Zest #FieldsOfEnthusiasm ,16.0,32.0,India,2023,3,30,16,"['with', 'a', 'zestful', 'heart', 'sprinting', 'through', 'fields', 'of', 'enthusiasm', 'chasing', 'sunbeams', 'and', 'laughter', 'in', 'the', 'meadows', 'of', 'joy']",18
"a compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,2021-07-01 12:10:00,RainNurturer,Facebook, #Compassionate #TearsOfEmpathy ,21.0,42.0,Canada,2021,7,1,12,"['a', 'compassionate', 'rain', 'tears', 'of', 'empathy', 'falling', 'gently', 'nurturing', 'the', 'seeds', 'of', 'kindness', 'in', 'the', 'garden', 'of', 'human', 'connections']",19
"proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",Proud,2020-01-05 08:45:00,PeakConqueror,Twitter, #Proud #ScalingPeaks ,23.0,46.0,USA,2020,1,5,8,"['proudly', 'scaling', 'the', 'peaks', 'of', 'achievement', 'a', 'mountaineer', 'conquering', 'challenges', 'and', 'planting', 'the', 'flag', 'of', 'success']",16
"embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,2022-07-17 06:15:00,DawnGardener,Instagram, #Hopeful #SeedsOfOptimism ,14.0,28.0,UK,2022,7,17,6,"['embraced', 'by', 'the', 'hopeful', 'dawn', 'a', 'gardener', 'sowing', 'seeds', 'of', 'optimism', 'tending', 'to', 'the', 'blooms', 'of', 'a', 'brighter', 'tomorrow']",19
"a playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",Playful,2018-08-22 17:20:00,CarnivalDreamer,Facebook, #Playful #CarnivalEscapade ,24.0,48.0,Australia,2018,8,22,17,"['a', 'playful', 'escapade', 'in', 'the', 'carnival', 'of', 'life', 'carousel', 'laughter', 'and', 'cotton', 'candy', 'dreams', 'swirling', 'in', 'the', 'joyous', 'atmosphere']",19
"floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",Inspired,2021-12-08 14:30:00,SkyArtist,Twitter, #Inspired #CloudsOfCreativity ,18.0,36.0,India,2021,12,8,14,"['floating', 'on', 'clouds', 'of', 'inspiration', 'an', 'artist', 'painting', 'the', 'sky', 'with', 'strokes', 'of', 'creativity', 'creating', 'a', 'masterpiece', 'of', 'dreams']",19
"navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",Contentment,2019-04-27 09:50:00,RiverNavigator,Instagram, #Contentment #TranquilWaters ,20.0,40.0,Canada,2019,4,27,9,"['navigating', 'the', 'river', 'of', 'contentment', 'a', 'serene', 'boat', 'cruise', 'through', 'the', 'tranquil', 'waters', 'of', 'inner', 'peace', 'and', 'acceptance']",18
"with empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",Empathetic,2023-09-03 21:40:00,LanternWanderer,Facebook, #Empathetic #LanternOfCompassion ,16.0,32.0,USA,2023,9,3,21,"['with', 'empathy', 'as', 'a', 'lantern', 'wandering', 'through', 'the', 'dark', 'alleys', 'of', 'sorrow', 'illuminating', 'the', 'path', 'with', 'compassion', 'and', 'care']",19
"a free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",Free-spirited,2020-06-10 10:05:00,DreamSoarer,Twitter, #FreeSpirit #WingsOfDreams ,22.0,44.0,UK,2020,6,10,10,"['a', 'free', 'spirit', 'soaring', 'on', 'the', 'wings', 'of', 'dreams', 'leaving', 'trails', 'of', 'independence', 'in', 'the', 'azure', 'sky', 'of', 'boundless', 'possibilities']",20
"bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",Grateful,2022-04-01 18:30:00,SunsetAdmirer,Instagram, #Grateful #GoldenHues ,19.0,38.0,Australia,2022,4,1,18,"['bathed', 'in', 'the', 'golden', 'hues', 'of', 'gratefulness', 'a', 'sunset', 'of', 'appreciation', 'casting', 'its', 'warm', 'glow', 'on', 'the', 'landscapes', 'of', 'the', 'heart']",21
"confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",Confident,2021-01-15 13:00:00,DanceStrider,Facebook, #Confident #DanceOfLife ,23.0,46.0,Canada,2021,1,15,13,"['confident', 'strides', 'in', 'the', 'dance', 'of', 'life', 'a', 'ballroom', 'where', 'selfassuredness', 'leads', 'twirling', 'through', 'challenges', 'with', 'grace']",17
"hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",Hopeful,2023-05-06 07:20:00,WindWhisperer,Twitter, #Hopeful #BrighterTomorrows ,15.0,30.0,India,2023,5,6,7,"['hopeful', 'whispers', 'of', 'wind', 'carrying', 'the', 'promises', 'of', 'a', 'brighter', 'tomorrow', 'a', 'symphony', 'of', 'optimism', 'in', 'the', 'air', 'of', 'possibilities']",20
"playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",Playful,2019-11-18 15:15:00,JugglingArtist,Instagram, #Playful #JugglingResponsibilities ,25.0,50.0,USA,2019,11,18,15,"['playfully', 'juggling', 'responsibilities', 'a', 'circus', 'performer', 'balancing', 'the', 'acts', 'of', 'work', 'and', 'joy', 'tossing', 'laughter', 'into', 'the', 'air']",18
"whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",Inspired,2020-08-29 20:45:00,StarStoryteller,Facebook, #Inspired #TalesToTheStars ,14.0,28.0,UK,2020,8,29,20,"['whispering', 'tales', 'of', 'inspiration', 'to', 'the', 'stars', 'a', 'storyteller', 'crafting', 'constellations', 'from', 'the', 'threads', 'of', 'imagination']",16
"charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",Hopeful,2022-10-30 11:40:00,WaveNavigator,Twitter, #Hopeful #SailorOfDreams ,17.0,34.0,Australia,2022,10,30,11,"['charting', 'a', 'course', 'through', 'the', 'waves', 'of', 'hopeful', 'anticipation', 'a', 'sailor', 'steering', 'towards', 'the', 'shores', 'of', 'dreams', 'yet', 'unexplored']",19
"a compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,2021-07-01 12:10:00,RainNurturer,Instagram, #Compassionate #TearsOfEmpathy ,21.0,42.0,Canada,2021,7,1,12,"['a', 'compassionate', 'rain', 'tears', 'of', 'empathy', 'falling', 'gently', 'nurturing', 'the', 'seeds', 'of', 'kindness', 'in', 'the', 'garden', 'of', 'human', 'connections']",19
"proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",Proud,2020-01-05 08:45:00,PeakConqueror,Twitter, #Proud #ScalingPeaks ,23.0,46.0,USA,2020,1,5,8,"['proudly', 'scaling', 'the', 'peaks', 'of', 'achievement', 'a', 'mountaineer', 'conquering', 'challenges', 'and', 'planting', 'the', 'flag', 'of', 'success']",16
"embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,2022-07-17 06:15:00,DawnGardener,Instagram, #Hopeful #SeedsOfOptimism ,14.0,28.0,UK,2022,7,17,6,"['embraced', 'by', 'the', 'hopeful', 'dawn', 'a', 'gardener', 'sowing', 'seeds', 'of', 'optimism', 'tending', 'to', 'the', 'blooms', 'of', 'a', 'brighter', 'tomorrow']",19
"a playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",Playful,2018-08-22 17:20:00,CarnivalDreamer,Facebook, #Playful #CarnivalEscapade ,24.0,48.0,Australia,2018,8,22,17,"['a', 'playful', 'escapade', 'in', 'the', 'carnival', 'of', 'life', 'carousel', 'laughter', 'and', 'cotton', 'candy', 'dreams', 'swirling', 'in', 'the', 'joyous', 'atmosphere']",19
"floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",Inspired,2021-12-08 14:30:00,SkyArtist,Twitter, #Inspired #CloudsOfCreativity ,18.0,36.0,India,2021,12,8,14,"['floating', 'on', 'clouds', 'of', 'inspiration', 'an', 'artist', 'painting', 'the', 'sky', 'with', 'strokes', 'of', 'creativity', 'creating', 'a', 'masterpiece', 'of', 'dreams']",19
"navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",Contentment,2019-04-27 09:50:00,RiverNavigator,Instagram, #Contentment #TranquilWaters ,20.0,40.0,Canada,2019,4,27,9,"['navigating', 'the', 'river', 'of', 'contentment', 'a', 'serene', 'boat', 'cruise', 'through', 'the', 'tranquil', 'waters', 'of', 'inner', 'peace', 'and', 'acceptance']",18
"with empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",Empathetic,2023-09-03 21:40:00,LanternWanderer,Facebook, #Empathetic #LanternOfCompassion ,16.0,32.0,USA,2023,9,3,21,"['with', 'empathy', 'as', 'a', 'lantern', 'wandering', 'through', 'the', 'dark', 'alleys', 'of', 'sorrow', 'illuminating', 'the', 'path', 'with', 'compassion', 'and', 'care']",19
"a free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",Free-spirited,2020-06-10 10:05:00,DreamSoarer,Twitter, #FreeSpirit #WingsOfDreams ,22.0,44.0,UK,2020,6,10,10,"['a', 'free', 'spirit', 'soaring', 'on', 'the', 'wings', 'of', 'dreams', 'leaving', 'trails', 'of', 'independence', 'in', 'the', 'azure', 'sky', 'of', 'boundless', 'possibilities']",20
"bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",Grateful,2022-04-01 18:30:00,SunsetAdmirer,Instagram, #Grateful #GoldenHues ,19.0,38.0,Australia,2022,4,1,18,"['bathed', 'in', 'the', 'golden', 'hues', 'of', 'gratefulness', 'a', 'sunset', 'of', 'appreciation', 'casting', 'its', 'warm', 'glow', 'on', 'the', 'landscapes', 'of', 'the', 'heart']",21
"confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",Confident,2021-01-15 13:00:00,DanceStrider,Facebook, #Confident #DanceOfLife ,23.0,46.0,Canada,2021,1,15,13,"['confident', 'strides', 'in', 'the', 'dance', 'of', 'life', 'a', 'ballroom', 'where', 'selfassuredness', 'leads', 'twirling', 'through', 'challenges', 'with', 'grace']",17
"hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",Hopeful,2023-05-06 07:20:00,WindWhisperer,Twitter, #Hopeful #BrighterTomorrows ,15.0,30.0,India,2023,5,6,7,"['hopeful', 'whispers', 'of', 'wind', 'carrying', 'the', 'promises', 'of', 'a', 'brighter', 'tomorrow', 'a', 'symphony', 'of', 'optimism', 'in', 'the', 'air', 'of', 'possibilities']",20
"playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",Playful,2019-11-18 15:15:00,JugglingArtist,Instagram, #Playful #JugglingResponsibilities ,25.0,50.0,USA,2019,11,18,15,"['playfully', 'juggling', 'responsibilities', 'a', 'circus', 'performer', 'balancing', 'the', 'acts', 'of', 'work', 'and', 'joy', 'tossing', 'laughter', 'into', 'the', 'air']",18
"whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",Inspired,2020-08-29 20:45:00,StarStoryteller,Facebook, #Inspired #TalesToTheStars ,14.0,28.0,UK,2020,8,29,20,"['whispering', 'tales', 'of', 'inspiration', 'to', 'the', 'stars', 'a', 'storyteller', 'crafting', 'constellations', 'from', 'the', 'threads', 'of', 'imagination']",16
"charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",Hopeful,2022-10-30 11:40:00,WaveNavigator,Twitter, #Hopeful #SailorOfDreams ,17.0,34.0,Australia,2022,10,30,11,"['charting', 'a', 'course', 'through', 'the', 'waves', 'of', 'hopeful', 'anticipation', 'a', 'sailor', 'steering', 'towards', 'the', 'shores', 'of', 'dreams', 'yet', 'unexplored']",19
"a compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,2021-07-01 12:10:00,RainNurturer,Instagram, #Compassionate #TearsOfEmpathy ,21.0,42.0,Canada,2021,7,1,12,"['a', 'compassionate', 'rain', 'tears', 'of', 'empathy', 'falling', 'gently', 'nurturing', 'the', 'seeds', 'of', 'kindness', 'in', 'the', 'garden', 'of', 'human', 'connections']",19
"proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",Proud,2020-01-05 08:45:00,PeakConqueror,Twitter, #Proud #ScalingPeaks ,23.0,46.0,USA,2020,1,5,8,"['proudly', 'scaling', 'the', 'peaks', 'of', 'achievement', 'a', 'mountaineer', 'conquering', 'challenges', 'and', 'planting', 'the', 'flag', 'of', 'success']",16
"embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,2022-07-17 06:15:00,DawnGardener,Instagram, #Hopeful #SeedsOfOptimism ,14.0,28.0,India,2022,7,17,6,"['embraced', 'by', 'the', 'hopeful', 'dawn', 'a', 'gardener', 'sowing', 'seeds', 'of', 'optimism', 'tending', 'to', 'the', 'blooms', 'of', 'a', 'brighter', 'tomorrow']",19
"a playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",Playful,2018-08-22 17:20:00,CarnivalDreamer,Facebook, #Playful #CarnivalEscapade ,24.0,48.0,Australia,2018,8,22,17,"['a', 'playful', 'escapade', 'in', 'the', 'carnival', 'of', 'life', 'carousel', 'laughter', 'and', 'cotton', 'candy', 'dreams', 'swirling', 'in', 'the', 'joyous', 'atmosphere']",19
"drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness.",Despair,2021-09-15 16:00:00,ShatteredHeart,Instagram, #Despair #EchoingSilence ,8.0,16.0,Canada,2021,9,15,16,"['drowning', 'in', 'the', 'abyss', 'of', 'despair', 'a', 'heart', 'shattered', 'into', 'fragments', 'lost', 'in', 'the', 'echoing', 'silence', 'of', 'hopelessness']",18
"bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",Bitterness,2019-03-08 14:20:00,VenomousSoul,Facebook, #Bitterness #ResentmentWeb ,12.0,24.0,UK,2019,3,8,14,"['bitterness', 'festering', 'like', 'a', 'venomous', 'vine', 'entwining', 'the', 'soul', 'in', 'a', 'web', 'of', 'resentment', 'poisoning', 'the', 'garden', 'of', 'peace']",19
"wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing.",Loneliness,2017-07-20 11:45:00,DesertWanderer,Twitter, #Loneliness #MiragesOfConnection ,15.0,30.0,USA,2017,7,20,11,"['wandering', 'through', 'the', 'desert', 'of', 'loneliness', 'each', 'step', 'a', 'heavy', 'sigh', 'mirages', 'of', 'connection', 'shimmering', 'but', 'never', 'materializing']",18
"yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude.",Yearning,2020-11-02 19:30:00,ColdEmbrace,Instagram, #Yearning #DistantWarmth ,10.0,20.0,Australia,2020,11,2,19,"['yearning', 'for', 'a', 'touch', 'thats', 'not', 'there', 'echoes', 'of', 'a', 'distant', 'warmth', 'haunting', 'the', 'heart', 'in', 'the', 'cold', 'embrace', 'of', 'solitude']",21
"eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors.",Fearful,2022-05-12 02:00:00,NightPrisoner,Facebook, #Fearful #ImaginedHorrors ,18.0,36.0,India,2022,5,12,2,"['eyes', 'wide', 'open', 'in', 'the', 'night', 'fearful', 'shadows', 'dancing', 'on', 'the', 'walls', 'the', 'mind', 'a', 'prisoner', 'of', 'imagined', 'horrors']",19
"apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion.",Apprehensive,2023-04-08 13:15:00,TightropeWalker,Twitter, #Apprehensive #BalancingAct ,14.0,28.0,UK,2023,4,8,13,"['apprehensive', 'steps', 'on', 'the', 'tightrope', 'of', 'uncertainty', 'a', 'balancing', 'act', 'where', 'the', 'fall', 'seems', 'inevitable', 'anxiety', 'a', 'constant', 'companion']",19
"overwhelmed by the weight of the world, atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion.",Overwhelmed,2021-06-25 17:50:00,AtlasBearer,Instagram, #Overwhelmed #BouldersOfExhaustion ,22.0,44.0,Canada,2021,6,25,17,"['overwhelmed', 'by', 'the', 'weight', 'of', 'the', 'world', 'atlas', 'with', 'trembling', 'shoulders', 'each', 'responsibility', 'a', 'boulder', 'in', 'the', 'landscape', 'of', 'exhaustion']",20
"jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success.",Jealous,2019-08-30 10:10:00,GreenMonster,Facebook, #Jealous #GreenEyedMonster ,16.0,32.0,USA,2019,8,30,10,"['jealousy', 'a', 'greeneyed', 'monster', 'lurking', 'in', 'the', 'shadows', 'casting', 'a', 'dark', 'cloud', 'over', 'the', 'sunshine', 'of', 'others', 'success']",18
"devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises.",Devastated,2022-08-03 15:30:00,StormSurvivor,Twitter, #Devastated #WindsOfBrokenPromises ,25.0,50.0,Australia,2022,8,3,15,"['devastated', 'by', 'the', 'storm', 'of', 'betrayal', 'the', 'wreckage', 'of', 'trust', 'scattered', 'like', 'debris', 'a', 'heart', 'torn', 'by', 'the', 'winds', 'of', 'broken', 'promises']",22
"frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations.",Frustrated,2020-12-17 09:20:00,PuzzleComposer,Instagram, #Frustrated #UnsolvablePuzzle ,12.0,24.0,India,2020,12,17,9,"['frustrated', 'fingers', 'tapping', 'on', 'the', 'keyboard', 'a', 'symphony', 'of', 'annoyance', 'composing', 'an', 'unsolvable', 'puzzle', 'of', 'unmet', 'expectations']",17
"envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach.",Envious,2021-02-28 22:45:00,GildedHeartache,Facebook, #Envious #GildedPrize ,20.0,40.0,USA,2021,2,28,22,"['envious', 'eyes', 'fixated', 'on', 'the', 'gilded', 'prize', 'a', 'heartache', 'fueled', 'by', 'the', 'painful', 'desire', 'for', 'possessions', 'that', 'seem', 'forever', 'out', 'of', 'reach']",22
"dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition.",Dismissive,2018-05-10 14:00:00,IndifferentFort,Twitter, #Dismissive #ImpenetrableWalls ,14.0,28.0,UK,2018,5,10,14,"['dismissive', 'glances', 'a', 'fortress', 'built', 'with', 'indifference', 'walls', 'impenetrable', 'to', 'the', 'pleas', 'of', 'understanding', 'and', 'recognition']",16
"shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration.",Frustrated,2022-01-07 11:10:00,DreamMosaic,Instagram, #Frustrated #MosaicOfDisappointment ,15.0,30.0,Canada,2022,1,7,11,"['shattered', 'dreams', 'lie', 'on', 'the', 'floor', 'like', 'fragments', 'of', 'glass', 'a', 'mosaic', 'of', 'disappointment', 'crafted', 'by', 'the', 'hands', 'of', 'frustration']",20
"loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne.",Loneliness,2019-09-19 03:30:00,NocturnalEcho,Facebook, #Loneliness #SolitaryNocturne ,18.0,36.0,Australia,2019,9,19,3,"['loneliness', 'a', 'silent', 'companion', 'in', 'the', 'night', 'the', 'only', 'echo', 'in', 'the', 'chamber', 'of', 'solitude', 'a', 'hearts', 'solitary', 'nocturne']",19
"fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune.",Fearful,2023-07-14 23:00:00,DarkWhispers,Twitter, #Fearful #SpecterOfTheUnknown ,13.0,26.0,UK,2023,7,14,23,"['fearful', 'whispers', 'in', 'the', 'dark', 'the', 'mind', 'haunted', 'by', 'the', 'specter', 'of', 'the', 'unknown', 'shadows', 'dancing', 'to', 'the', 'rhythm', 'of', 'anxietys', 'tune']",22
"bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time.",Bitterness,2020-04-05 16:20:00,LingeringTaste,Instagram, #Bitterness #BitterAftertaste ,10.0,20.0,India,2020,4,5,16,"['bitterness', 'a', 'bitter', 'aftertaste', 'lingering', 'on', 'the', 'tongue', 'each', 'word', 'a', 'reminder', 'of', 'wounds', 'that', 'refuse', 'to', 'heal', 'with', 'the', 'passing', 'of', 'time']",23
